地點,里程,建築者,建築年份,通車年份,說明
海端─瑞源(單線),4.64,鐵路改建工程局東部工程處,2010,2013,花東鐵路電氣化工程。
山里─臺東(雙線),7.3,鐵路改建工程局東部工程處,2010,2013,添築雙線。
花壇─社頭(雙線),4.25,鐵路改建工程局,2006,2014,員林鐵路高架化。
金崙─太麻里(單線),1.92,臺灣鐵路管理局,2010,2014,南太麻里溪橋改建。
屏東─潮州(雙線),16.264,鐵路改建工程局南部工程處,2009,2015,屏東以南至潮州鐵路高架化。
壽豐─南平(雙線),12,鐵路改建工程局東部工程處,2014,2015,添築雙線。
桃園車站,0.295,臺灣鐵路管理局,2015,2015,桃園臨時站切換。
壽豐─豐田(雙線),2.716,鐵路改建工程局東部工程處,2015,2016,添築雙線。
海科館─八斗子,0.394,臺灣鐵路管理局,2015,2016,復駛。
豐原─大慶,21.7,交通部鐵道局中部工程處,2006,2016,臺中鐵路高架化。
善化車站,0.275,臺灣鐵路管理局,2017,2017,增設月台。
三民車站,2.116,鐵路改建工程局,2010,2017,增設股道。
三民車站,2.116,交通部鐵道局東部工程處,2010,2018,添築雙線。
左營─高雄,8.328,交通部鐵道局南部工程處,2009,2018,高雄鐵路地下化。
高雄─後庄,6.975,交通部鐵道局南部工程處,2009,2018,高雄鐵路地下化。
潮州─枋寮,22.375,交通部鐵道局南部工程處,2017,2019,南迴鐵路電氣化工程。
枋寮─知本,86.54,交通部鐵道局東部工程處,2017,2020,南迴鐵路電氣化工程。
成功─追分(雙線),2.2,臺灣鐵路管理局,2017,2020,添築雙線。
多良車站,2.94,交通部鐵道局東部工程處,2017,2020,增設股道。
知本─康樂,1.68,交通部鐵道局東部工程處,2018,2021,利嘉溪橋新建。
